,amp,attack,blue,bpm,cutoff,green,initial_offset,instrument,mix_echo,mix_reverb,mod_phase,mod_range,nature,number,order,pan,pitch,red,release,rootnote,rootoctave,total_offset
0,0.97,0,251,25,97,255,0.5,3,0,0.3,0.7,4,bass,2,3,0,0,157,1,24,5,0
1,0.66,0,242,50,99,255,0.5,3,0,0.77,0.77,9,bass,2,3,0,0,106,1,24,5,0
2,0.83,0,245,25,99,255,0.5,1,0,0.7,0.72,2,bass,1,3,0,0,218,1,24,5,0
3,0.51,0,202,50,91,255,0.5,3,0,0.87,0.78,3,bass,2,3,0,0,203,1,24,5,0
4,0.64,0,166,25,92,255,0.5,1,0,0.57,0.32,8,bass,1,3,0,0,165,1,28,4,0
5,0.88,0,133,50,99,255,0.5,1,0,0.64,0.53,11,bass,2,3,0,0,110,1,34,5,0
6,0.69,0,105,50,99,255,0.5,3,0,0.99,0.61,5,bass,2,3,0,0,186,1,25,4,0
7,0.62,0,167,100,99,255,0.5,2,0,0.62,0.76,11,bass,2,3,0,0,100,1,25,5,0
8,0.54,0,165,25,99,255,0.5,3,0,0.78,0.23,3,bass,1,3,0,0,216,1,27,3,0
9,0.6,0,246,50,99,255,0.5,3,0,0.9,0.79,9,bass,1,3,0,0,212,1,24,5,0
10,1.0,0,220,25,97,255,0.5,3,0,0.3,0.76,5,bass,1,3,0,0,100,1,27,5,0
11,0.71,0,164,25,99,255,0.5,0,0,0.87,0.72,3,bass,2,3,0,0,236,1,24,4,0
12,0.78,0,254,25,97,255,0.5,3,0,0.91,0.5,11,bass,1,3,0,0,101,1,33,5,0
13,0.86,0,148,25,93,255,0.5,3,0,0.44,0.8,5,bass,2,3,0,0,126,1,35,4,0
14,0.98,0,123,25,91,255,0.5,1,0,0.61,0.23,10,bass,1,3,0,0,205,1,24,4,0
15,0.74,0,254,100,93,255,0.5,3,0,0.58,0.78,7,bass,2,3,0,0,239,1,24,5,0
16,0.98,0,136,100,93,255,0.5,2,0,0.3,0.79,4,bass,1,3,0,0,134,1,24,5,0
17,0.62,0,254,25,93,255,0.5,3,0,0.3,0.69,4,bass,2,3,0,0,184,1,31,4,0
18,0.97,0,198,25,91,255,0.5,3,0,0.54,0.74,2,bass,1,3,0,0,254,1,30,5,0
19,0.98,0,251,25,99,255,0.5,2,0,0.58,0.74,10,bass,2,3,0,0,156,1,24,5,0
0,0.79,0,255,25,96,113,0.5,1,0.0,0.65,0.64,2,guitar,3,3,-0.35,-41,223,0.84,24,5,0.375
1,0.96,0,255,25,61,107,0.5,0,0.14,0.84,0.78,4,guitar,4,3,0.49,-37,100,0.98,28,3,0.875
2,0.76,0,255,25,50,123,0.5,3,0.01,0.55,0.77,4,guitar,4,3,0.42,-41,118,0.03,24,3,0.0
3,0.77,0,255,100,90,103,0.5,1,0.06,0.99,0.79,9,guitar,2,3,0.49,-38,100,0.99,27,3,0.21875
