,amp,attack,blue,bpm,cutoff,green,initial_offset,instrument,mix_echo,mix_reverb,mod_phase,mod_range,nature,number,order,pan,pitch,red,release,rootnote,rootoctave,total_offset
0,0.53,0,255,20,90,228,0.5,0,0.43,0.51,0.46,8,guitar,4,3,-0.39,-33,102,0.5,32,4,0.125
1,0.51,0,255,20,98,241,0.5,2,0.46,0.5,0.39,6,guitar,4,3,-0.48,-32,101,0.37,33,4,0.125
2,0.61,0,255,20,50,136,0.5,2,0.0,0.51,0.75,9,guitar,1,3,0.34,-31,100,0.97,34,3,0.375
3,0.52,0,255,20,86,102,0.5,0,0.43,0.96,0.18,10,guitar,4,3,-0.46,-30,101,0.23,35,5,0.875
4,0.5,0,255,20,63,164,0.5,2,0.23,0.82,0.61,10,guitar,4,3,-0.48,-35,100,0.34,30,3,0.625
5,0.52,0,255,20,81,118,0.5,0,0.0,0.5,0.72,7,guitar,1,3,-0.44,-31,214,0.65,34,5,0.0
6,0.58,0,255,20,76,237,0.5,3,0.0,0.56,0.67,7,guitar,2,3,-0.06,-35,100,0.98,30,3,0.875
7,0.52,0,255,80,94,238,0.5,0,0.05,0.51,0.76,5,guitar,4,3,-0.02,-41,101,0.84,24,4,0.0
8,0.52,0,255,20,97,246,0.5,0,0.45,0.96,0.36,9,guitar,2,3,0.09,-30,116,0.87,35,5,0.0
9,0.5,0,255,80,98,211,0.5,0,0.12,0.94,0.56,8,guitar,4,3,0.24,-34,100,0.9,31,3,0.09375
10,0.5,0,255,40,56,114,0.5,1,0.17,0.85,0.41,10,guitar,1,3,-0.4,-36,101,0.51,29,4,0.3125
11,0.54,0,255,20,98,130,0.5,3,0.0,0.85,0.77,10,guitar,3,3,0.25,-38,100,0.98,27,3,0.875
12,0.51,0,255,80,95,250,0.5,3,0.17,0.56,0.8,9,guitar,4,3,-0.15,-31,219,0.94,34,3,0.03125
13,0.51,0,255,20,88,157,0.5,2,0.46,0.5,0.3,7,guitar,3,3,-0.49,-32,101,0.82,33,5,0.0
14,0.83,0,255,20,57,216,0.5,2,0.42,0.5,0.48,11,guitar,3,3,0.45,-30,240,0.36,35,3,0.625
15,0.59,0,255,20,55,246,0.5,3,0.25,0.63,0.39,11,guitar,2,3,-0.14,-34,146,0.56,31,5,0.625
16,0.5,0,255,20,98,228,0.5,2,0.4,0.74,0.22,8,guitar,2,3,-0.48,-38,178,0.28,27,4,0.125
17,0.6,0,255,20,50,194,0.5,1,0.0,0.5,0.79,10,guitar,4,3,0.23,-30,100,0.19,35,5,0.625
18,0.5,0,255,20,99,253,0.5,1,0.23,0.51,0.13,10,guitar,3,3,-0.43,-39,204,0.32,26,3,0.0
19,0.6,0,255,20,98,220,0.5,3,0.48,0.5,0.29,3,guitar,4,3,-0.38,-31,252,0.32,34,3,0.0
0,0.97,0,255,20,75,161,0.0,2,0.48,0.81,0.22,11,hat,3,3,-0.42,0,134,0.94,29,5,0.0
1,0.99,0,255,40,72,213,0.25,2,0.5,0.89,0.15,9,hat,2,3,0.37,-1,132,0.97,28,3,0.0
2,0.62,0,255,80,90,219,0.0,1,0.49,0.63,0.43,11,hat,3,3,-0.46,3,106,0.41,33,5,0.0
3,0.99,0,255,40,70,238,0.0,2,0.38,0.68,0.8,11,hat,2,3,0.43,1,186,0.99,31,5,0.0
4,1.0,0,255,20,70,193,0.25,3,0.5,0.94,0.33,3,hat,2,3,0.44,4,114,0.81,34,3,0.0
5,0.65,0,255,80,81,156,0.5,3,0.5,0.87,0.21,4,hat,2,3,0.49,0,254,0.98,29,5,0.0
6,1.0,0,255,20,88,153,0.0,3,0.49,0.79,0.55,2,hat,3,3,-0.43,-2,170,0.46,27,5,0.25
7,0.99,0,255,80,72,101,0.0,3,0.5,0.97,0.43,11,hat,2,3,-0.5,-3,105,0.97,26,3,0.125
8,0.69,0,255,20,71,136,0.75,0,0.5,0.84,0.11,3,hat,2,3,0.47,-2,233,0.99,27,3,0.25
9,0.9,0,255,20,78,118,0.0,0,0.49,0.57,0.28,11,hat,3,3,-0.47,0,123,0.33,29,4,0.0
10,0.99,0,255,20,95,121,0.0,3,0.0,0.56,0.21,11,hat,3,3,0.06,-2,132,0.98,27,5,0.0
11,0.81,0,255,40,72,249,0.0,3,0.14,0.91,0.13,11,hat,2,3,0.45,-5,126,0.98,24,5,0.0
12,0.64,0,255,80,79,110,0.75,3,0.39,0.91,0.11,10,hat,2,3,-0.06,-2,124,0.44,27,3,0.0625
13,0.96,0,255,80,81,242,0.75,2,0.48,0.54,0.34,11,hat,3,3,-0.01,-5,204,0.9,24,5,0.0
14,0.84,0,255,20,81,179,0.75,0,0.44,0.6,0.15,8,hat,3,3,-0.09,0,125,0.99,30,3,0.25
15,0.99,0,255,40,74,110,0.25,0,0.5,0.94,0.18,2,hat,2,3,-0.47,0,110,0.89,30,5,0.0
16,0.52,0,255,80,89,207,0.0,3,0.5,0.69,0.54,5,hat,2,3,0.26,4,163,0.87,34,5,0.0
17,0.85,0,255,20,73,117,0.0,2,0.05,0.74,0.21,11,hat,2,3,-0.33,4,251,0.99,34,5,0.5
18,0.54,0,255,80,77,105,0.0,0,0.2,0.76,0.5,11,hat,2,3,-0.47,-5,118,0.39,24,5,0.125
19,0.69,0,255,20,92,225,0.5,3,0.19,0.99,0.66,10,hat,3,3,-0.44,-4,140,0.96,25,4,0.0
